Date,Max_Temp_C,Min_Temp_C,Avg_Temp_C
2012-07-01,41.7,24.4,33.05
2012-07-02,36.1,23.9,30.0
2012-07-03,37.8,21.1,29.45
2012-07-04,35.0,22.2,28.6
2012-07-05,38.9,22.2,30.549999999999997
2012-07-06,37.8,20.6,29.2
2012-07-07,37.2,22.8,30.0
2012-07-08,37.2,25.0,31.1
2012-07-09,34.4,24.4,29.4
2012-07-10,33.3,22.2,27.75
2012-07-11,26.1,22.2,24.15
2012-07-12,25.0,21.1,23.05
2012-07-13,32.2,22.2,27.200000000000003
2012-07-14,32.8,23.9,28.349999999999998
2012-07-15,33.3,22.8,28.049999999999997
2012-07-16,35.6,22.8,29.200000000000003
2012-07-17,35.0,21.7,28.35
2012-07-18,33.3,21.7,27.5
2012-07-19,33.9,22.2,28.049999999999997
2012-07-20,30.0,21.7,25.85
2012-07-21,30.6,21.7,26.15
2012-07-22,32.8,21.1,26.95
2012-07-23,33.9,22.8,28.35
2012-07-24,34.4,23.9,29.15
2012-07-25,34.4,25.0,29.7
2012-07-26,35.0,23.3,29.15
2012-07-27,34.4,24.4,29.4
2012-07-28,34.4,22.2,28.299999999999997
2012-07-29,32.8,20.0,26.4
2012-07-30,33.9,19.4,26.65
2012-07-31,32.8,22.8,27.799999999999997
2012-08-01,35.6,21.7,28.65
2012-08-02,35.0,20.6,27.8
2012-08-03,31.1,23.3,27.200000000000003
2012-08-04,32.2,23.3,27.75
2012-08-05,32.8,22.8,27.799999999999997
2012-08-06,32.2,22.8,27.5
2012-08-07,33.3,23.3,28.299999999999997
2012-08-08,33.9,22.8,28.35
2012-08-09,28.3,21.1,24.700000000000003
2012-08-10,28.9,20.6,24.75
2012-08-11,28.9,18.3,23.6
2012-08-12,29.4,15.6,22.5
2012-08-13,28.3,16.7,22.5
2012-08-14,31.1,19.4,25.25
2012-08-15,31.1,20.6,25.85
2012-08-16,32.2,18.3,25.25
2012-08-17,28.9,20.0,24.45
2012-08-18,29.4,21.1,25.25
2012-08-19,28.3,20.0,24.15
2012-08-20,30.0,16.1,23.05
2012-08-21,30.0,16.1,23.05
2012-08-22,31.1,16.1,23.6
2012-08-23,31.7,16.7,24.2
2012-08-24,32.2,17.8,25.0
2012-08-25,31.1,19.4,25.25
2012-08-26,32.8,19.4,26.099999999999998
2012-08-27,33.3,19.4,26.349999999999998
2012-08-28,29.4,20.6,25.0
2012-08-29,33.3,23.3,28.299999999999997
2012-08-30,30.6,23.9,27.25
2012-08-31,31.7,23.9,27.799999999999997
2012-09-01,30.6,22.2,26.4
2012-09-02,31.1,21.7,26.4
2012-09-03,26.1,21.7,23.9
2012-09-04,26.7,22.8,24.75
2012-09-05,31.1,22.8,26.950000000000003
2012-09-06,32.8,21.7,27.25
2012-09-07,33.9,21.1,27.5
2012-09-08,27.2,16.1,21.65
2012-09-09,27.2,13.9,20.55
2012-09-10,28.9,14.4,21.65
2012-09-11,28.3,15.0,21.65
2012-09-12,28.3,16.1,22.200000000000003
2012-09-13,27.8,17.2,22.5
2012-09-14,27.8,15.6,21.7
2012-09-15,30.0,15.6,22.8
2012-09-16,29.4,18.9,24.15
2012-09-17,25.6,21.1,23.35
2012-09-18,26.1,14.4,20.25
2012-09-19,23.9,11.7,17.799999999999997
2012-09-20,26.1,12.8,19.450000000000003
2012-09-21,28.3,14.4,21.35
2012-09-22,29.4,14.4,21.9
2012-09-23,25.0,11.7,18.35
2012-09-24,23.3,8.9,16.1
2012-09-25,26.7,10.0,18.35
2012-09-26,28.3,13.9,21.1
2012-09-27,29.4,15.0,22.2
2012-09-28,30.0,17.2,23.6
2012-09-29,26.1,15.6,20.85
2012-09-30,22.2,13.3,17.75
2012-10-01,24.4,15.6,20.0
2012-10-02,23.9,16.7,20.299999999999997
2012-10-03,22.8,14.4,18.6
2012-10-04,26.7,12.8,19.75
2012-10-05,27.2,12.8,20.0
2012-10-06,17.8,12.8,15.3
2012-10-07,16.1,9.4,12.75
2012-10-08,11.7,8.9,10.3
2012-10-09,17.2,8.9,13.05
2012-10-10,21.7,7.8,14.75
2012-10-11,21.7,6.1,13.899999999999999
2012-10-12,20.6,14.4,17.5
2012-10-13,25.0,13.9,19.45
2012-10-14,23.3,15.6,19.45
2012-10-15,23.3,10.6,16.95
2012-10-16,22.2,7.8,15.0
2012-10-17,23.9,9.4,16.65
2012-10-18,22.2,9.4,15.8
2012-10-19,21.1,6.7,13.9
2012-10-20,20.0,7.2,13.6
2012-10-21,23.3,6.7,15.0
2012-10-22,26.1,10.0,18.05
2012-10-23,26.7,10.0,18.35
2012-10-24,27.2,10.0,18.6
2012-10-25,25.6,10.0,17.8
2012-10-26,27.2,12.8,20.0
2012-10-27,16.7,11.1,13.899999999999999
2012-10-28,11.1,8.9,10.0
2012-10-29,12.8,5.0,8.9
2012-10-30,12.8,5.6,9.2
2012-10-31,16.7,2.2,9.45
2012-11-01,17.8,0.6,9.200000000000001
2012-11-02,23.9,4.4,14.149999999999999
2012-11-03,25.0,5.0,15.0
2012-11-04,18.3,4.4,11.350000000000001
2012-11-05,16.7,2.2,9.45
2012-11-06,11.7,7.2,9.45
2012-11-07,11.7,6.1,8.899999999999999
2012-11-08,16.1,2.2,9.15
2012-11-09,19.4,1.1,10.25
2012-11-10,21.7,2.8,12.25
2012-11-11,21.7,2.8,12.25
2012-11-12,18.3,4.4,11.350000000000001
2012-11-13,12.2,2.8,7.5
2012-11-14,12.8,3.3,8.05
2012-11-15,16.1,3.3,9.700000000000001
2012-11-16,16.1,0.6,8.350000000000001
2012-11-17,17.2,0.0,8.6
2012-11-18,18.3,0.0,9.15
2012-11-19,20.0,0.6,10.3
2012-11-20,20.6,4.4,12.5
2012-11-21,21.7,5.6,13.649999999999999
2012-11-22,20.6,3.3,11.950000000000001
2012-11-23,18.3,3.9,11.1
2012-11-24,9.4,-1.1,4.15
2012-11-25,13.9,-3.3,5.300000000000001
2012-11-26,19.4,0.0,9.7
2012-11-27,10.6,5.6,8.1
2012-11-28,11.1,0.6,5.85
2012-11-29,15.6,-1.7,6.95
2012-11-30,17.2,-0.6,8.299999999999999
2012-12-01,20.0,3.9,11.95
2012-12-02,21.7,5.0,13.35
2012-12-03,22.2,5.6,13.899999999999999
2012-12-04,21.7,8.9,15.3
2012-12-05,17.2,10.6,13.899999999999999
2012-12-06,17.8,7.2,12.5
2012-12-07,16.7,8.3,12.5
2012-12-08,21.1,12.2,16.65
2012-12-09,22.2,15.0,18.6
2012-12-10,17.8,4.4,11.100000000000001
2012-12-11,6.1,1.7,3.9
2012-12-12,10.6,1.7,6.1499999999999995
