Date,Max_Temp_C
2012-07-01,41.7
2012-07-02,36.1
2012-07-03,37.8
2012-07-04,35.0
2012-07-05,38.9
2012-07-06,37.8
2012-07-07,37.2
2012-07-08,37.2
2012-07-09,34.4
2012-07-10,33.3
2012-07-11,26.1
2012-07-12,25.0
2012-07-13,32.2
2012-07-14,32.8
2012-07-15,33.3
2012-07-16,35.6
2012-07-17,35.0
2012-07-18,33.3
2012-07-19,33.9
2012-07-20,30.0
2012-07-21,30.6
2012-07-22,32.8
2012-07-23,33.9
2012-07-24,34.4
2012-07-25,34.4
2012-07-26,35.0
2012-07-27,34.4
2012-07-28,34.4
2012-07-29,32.8
2012-07-30,33.9
2012-07-31,32.8
2012-08-01,35.6
2012-08-02,35.0
2012-08-03,31.1
2012-08-04,32.2
2012-08-05,32.8
2012-08-06,32.2
2012-08-07,33.3
2012-08-08,33.9
2012-08-09,28.3
2012-08-10,28.9
2012-08-11,28.9
2012-08-12,29.4
2012-08-13,28.3
2012-08-14,31.1
2012-08-15,31.1
2012-08-16,32.2
2012-08-17,28.9
2012-08-18,29.4
2012-08-19,28.3
2012-08-20,30.0
2012-08-21,30.0
2012-08-22,31.1
2012-08-23,31.7
2012-08-24,32.2
2012-08-25,31.1
2012-08-26,32.8
2012-08-27,33.3
2012-08-28,29.4
2012-08-29,33.3
2012-08-30,30.6
2012-08-31,31.7
2012-09-01,30.6
2012-09-02,31.1
2012-09-03,26.1
2012-09-04,26.7
2012-09-05,31.1
2012-09-06,32.8
2012-09-07,33.9
2012-09-08,27.2
2012-09-09,27.2
2012-09-10,28.9
2012-09-11,28.3
2012-09-12,28.3
2012-09-13,27.8
2012-09-14,27.8
2012-09-15,30.0
2012-09-16,29.4
2012-09-17,25.6
2012-09-18,26.1
2012-09-19,23.9
2012-09-20,26.1
2012-09-21,28.3
2012-09-22,29.4
2012-09-23,25.0
2012-09-24,23.3
2012-09-25,26.7
2012-09-26,28.3
2012-09-27,29.4
2012-09-28,30.0
2012-09-29,26.1
2012-09-30,22.2
2012-10-01,24.4
2012-10-02,23.9
2012-10-03,22.8
2012-10-04,26.7
2012-10-05,27.2
2012-10-06,17.8
2012-10-07,16.1
2012-10-08,11.7
2012-10-09,17.2
2012-10-10,21.7
2012-10-11,21.7
2012-10-12,20.6
2012-10-13,25.0
2012-10-14,23.3
2012-10-15,23.3
2012-10-16,22.2
2012-10-17,23.9
2012-10-18,22.2
2012-10-19,21.1
2012-10-20,20.0
2012-10-21,23.3
2012-10-22,26.1
2012-10-23,26.7
2012-10-24,27.2
2012-10-25,25.6
2012-10-26,27.2
2012-10-27,16.7
2012-10-28,11.1
2012-10-29,12.8
2012-10-30,12.8
2012-10-31,16.7
2012-11-01,17.8
2012-11-02,23.9
2012-11-03,25.0
2012-11-04,18.3
2012-11-05,16.7
2012-11-06,11.7
2012-11-07,11.7
2012-11-08,16.1
2012-11-09,19.4
2012-11-10,21.7
2012-11-11,21.7
2012-11-12,18.3
2012-11-13,12.2
2012-11-14,12.8
2012-11-15,16.1
2012-11-16,16.1
2012-11-17,17.2
2012-11-18,18.3
2012-11-19,20.0
2012-11-20,20.6
2012-11-21,21.7
2012-11-22,20.6
2012-11-23,18.3
2012-11-24,9.4
2012-11-25,13.9
2012-11-26,19.4
2012-11-27,10.6
2012-11-28,11.1
2012-11-29,15.6
2012-11-30,17.2
2012-12-01,20.0
2012-12-02,21.7
2012-12-03,22.2
2012-12-04,21.7
2012-12-05,17.2
2012-12-06,17.8
2012-12-07,16.7
2012-12-08,21.1
2012-12-09,22.2
2012-12-10,17.8
2012-12-11,6.1
2012-12-12,10.6
2012-12-13,13.3
2012-12-14,14.4
2012-12-15,15.0
2012-12-16,13.9
2012-12-17,16.7
2012-12-18,16.1
2012-12-19,18.3
2012-12-20,13.3
2012-12-21,6.7
2012-12-22,10.0
2012-12-23,12.8
2012-12-24,11.7
2012-12-25,9.4
2012-12-26,12.2
2012-12-27,3.9
2012-12-28,5.6
2012-12-29,6.1
2012-12-30,6.1
2012-12-31,9.4
