Date,Min_Temp_C
2012-07-01,24.4
2012-07-02,23.9
2012-07-03,21.1
2012-07-04,22.2
2012-07-05,22.2
2012-07-06,20.6
2012-07-07,22.8
2012-07-08,25.0
2012-07-09,24.4
2012-07-10,22.2
2012-07-11,22.2
2012-07-12,21.1
2012-07-13,22.2
2012-07-14,23.9
2012-07-15,22.8
2012-07-16,22.8
2012-07-17,21.7
2012-07-18,21.7
2012-07-19,22.2
2012-07-20,21.7
2012-07-21,21.7
2012-07-22,21.1
2012-07-23,22.8
2012-07-24,23.9
2012-07-25,25.0
2012-07-26,23.3
2012-07-27,24.4
2012-07-28,22.2
2012-07-29,20.0
2012-07-30,19.4
2012-07-31,22.8
2012-08-01,21.7
2012-08-02,20.6
2012-08-03,23.3
2012-08-04,23.3
2012-08-05,22.8
2012-08-06,22.8
2012-08-07,23.3
2012-08-08,22.8
2012-08-09,21.1
2012-08-10,20.6
2012-08-11,18.3
2012-08-12,15.6
2012-08-13,16.7
2012-08-14,19.4
2012-08-15,20.6
2012-08-16,18.3
2012-08-17,20.0
2012-08-18,21.1
2012-08-19,20.0
2012-08-20,16.1
2012-08-21,16.1
2012-08-22,16.1
2012-08-23,16.7
2012-08-24,17.8
2012-08-25,19.4
2012-08-26,19.4
2012-08-27,19.4
2012-08-28,20.6
2012-08-29,23.3
2012-08-30,23.9
2012-08-31,23.9
2012-09-01,22.2
2012-09-02,21.7
2012-09-03,21.7
2012-09-04,22.8
2012-09-05,22.8
2012-09-06,21.7
2012-09-07,21.1
2012-09-08,16.1
2012-09-09,13.9
2012-09-10,14.4
2012-09-11,15.0
2012-09-12,16.1
2012-09-13,17.2
2012-09-14,15.6
2012-09-15,15.6
2012-09-16,18.9
2012-09-17,21.1
2012-09-18,14.4
2012-09-19,11.7
2012-09-20,12.8
2012-09-21,14.4
2012-09-22,14.4
2012-09-23,11.7
2012-09-24,8.9
2012-09-25,10.0
2012-09-26,13.9
2012-09-27,15.0
2012-09-28,17.2
2012-09-29,15.6
2012-09-30,13.3
2012-10-01,15.6
2012-10-02,16.7
2012-10-03,14.4
2012-10-04,12.8
2012-10-05,12.8
2012-10-06,12.8
2012-10-07,9.4
2012-10-08,8.9
2012-10-09,8.9
2012-10-10,7.8
2012-10-11,6.1
2012-10-12,14.4
2012-10-13,13.9
2012-10-14,15.6
2012-10-15,10.6
2012-10-16,7.8
2012-10-17,9.4
2012-10-18,9.4
2012-10-19,6.7
2012-10-20,7.2
2012-10-21,6.7
2012-10-22,10.0
2012-10-23,10.0
2012-10-24,10.0
2012-10-25,10.0
2012-10-26,12.8
2012-10-27,11.1
2012-10-28,8.9
2012-10-29,5.0
2012-10-30,5.6
2012-10-31,2.2
2012-11-01,0.6
2012-11-02,4.4
2012-11-03,5.0
2012-11-04,4.4
2012-11-05,2.2
2012-11-06,7.2
2012-11-07,6.1
2012-11-08,2.2
2012-11-09,1.1
2012-11-10,2.8
2012-11-11,2.8
2012-11-12,4.4
2012-11-13,2.8
2012-11-14,3.3
2012-11-15,3.3
2012-11-16,0.6
2012-11-17,0.0
2012-11-18,0.0
2012-11-19,0.6
2012-11-20,4.4
2012-11-21,5.6
2012-11-22,3.3
2012-11-23,3.9
2012-11-24,-1.1
2012-11-25,-3.3
2012-11-26,0.0
2012-11-27,5.6
2012-11-28,0.6
2012-11-29,-1.7
2012-11-30,-0.6
2012-12-01,3.9
2012-12-02,5.0
2012-12-03,5.6
2012-12-04,8.9
2012-12-05,10.6
2012-12-06,7.2
2012-12-07,8.3
2012-12-08,12.2
2012-12-09,15.0
2012-12-10,4.4
2012-12-11,1.7
2012-12-12,1.7
2012-12-13,-1.7
2012-12-14,-2.2
2012-12-15,5.0
2012-12-16,10.6
2012-12-17,11.7
2012-12-18,5.6
2012-12-19,2.2
2012-12-20,5.6
2012-12-21,1.1
2012-12-22,-3.9
2012-12-23,-3.3
2012-12-24,6.1
2012-12-25,6.7
2012-12-26,1.7
2012-12-27,0.6
2012-12-28,0.0
2012-12-29,1.1
2012-12-30,-2.2
2012-12-31,-2.8
